nm,発光,nm,励起光
642,89.74931602,,
642.5,89.6465709,,
643,89.56538868,,
643.5,89.53218432,,
644,89.49649142,,
644.5,89.41033947,,
645,89.3120502,,
645.5,89.30553118,,
646,89.29053558,,
646.5,89.18759643,,
647,89.10755589,,
647.5,89.07434931,,
648,89.03837342,,
648.5,88.95167984,,
649,88.85389631,,
649.5,88.84829155,,
650,88.83208277,,
650.5,88.72845006,,
651,88.65144109,,
651.5,88.61593128,,
652,88.57157109,,
652.5,88.51413575,,
653,88.4684103,,
653.5,88.46643889,,
654,88.45870198,,
654.5,88.40836643,,
655,88.35514961,,
655.5,88.30979222,,
656,88.26245558,,
656.5,88.21368902,,
657,88.16621762,,
657.5,88.12093652,,
658,88.06826332,,
658.5,88.01670478,,
659,88.00708265,,
659.5,88.00641076,,
660,87.9616921,,
660.5,87.90665597,,
661,87.86075301,,
661.5,87.81317839,,
662,87.76617393,,
662.5,87.7194837,,
663,87.66319412,,
663.5,87.62541788,,
664,87.62898162,,
664.5,87.61115163,,
665,87.55637978,,
665.5,87.50601725,,
666,87.46026509,,
666.5,87.41206043,,
667,87.36630212,,
667.5,87.31596983,,
668,87.26116749,,
668.5,87.2432035,,
669,87.2468138,,
669.5,87.20920384,,
670,87.15277479,,
670.5,87.10599275,,
671,87.059793,,
671.5,87.01122874,,
672,86.96296828,,
672.5,86.91737689,,
673,86.86882715,,
673.5,86.81233568,,
674,86.78518753,,
674.5,86.79048629,,
675,86.76161049,,
675.5,86.70499571,,
676,86.65677096,,
676.5,86.61109706,,
677,86.56277953,,
677.5,86.51425463,,
678,86.46816219,,
678.5,86.42114465,,
679,86.36458537,,
679.5,86.32853904,,
680,86.33267816,,
680.5,86.31302853,,
681,86.25776281,,
681.5,86.20766332,,
682,86.16223835,,
682.5,86.11421876,,
683,86.0661142,,
683.5,86.01862702,,
684,85.97103783,,
684.5,85.92272997,,
685,85.87530444,,
685.5,85.82989626,,
686,85.7764938,,
686.5,85.72655935,,
687,85.71972015,,
687.5,85.7168821,,
688,85.66999151,,
688.5,85.6154491,,
689,85.56980914,,
689.5,85.52267972,,
690,85.47432341,,
690.5,85.42668123,,
691,85.37921771,,
691.5,85.33120298,,
692,85.28303366,,
692.5,85.23742166,,
693,85.18844805,,
693.5,85.13222064,,
694,85.10739383,,
694.5,85.11253623,,
695,85.08136302,,
695.5,85.02469046,,
696,84.97691383,,
696.5,84.93092704,,
697,84.88266084,,
697.5,84.83496214,,
698,84.78697047,,
698.5,84.73911983,,
699,84.69377035,,
699.5,84.64238367,,
700,84.58874779,,
700.5,84.57445214,,
701,84.57654851,,
701.5,84.53569514,,
702,84.47983247,,
702.5,84.43352554,,
703,84.38627293,,
703.5,84.33892412,,
704,84.2927487,,
704.5,84.23709837,,
705,84.19508159,,
705.5,84.19646613,,
706,84.18355093,,
706.5,84.13045482,,
707,84.07865693,,
707.5,84.03341254,,
708,83.98575483,,
708.5,83.93699756,,
709,83.88987337,,
709.5,83.84438506,,
710,83.79031971,,
710.5,83.7419671,,
711,83.73732375,,
711.5,83.73247243,,
712,83.68397002,,
712.5,83.6294427,,
713,83.58440996,,
713.5,83.53928621,,
714,83.48457409,,
714.5,83.43660154,,
715,83.43242496,,
715.5,83.42709385,,
