0,1,2
494,-3485.6759992634984,-5787.6409592590935
495,-3381.9763753331326,-5782.417077725519
496,-3420.1406723529317,-5807.191279123492
497,-3579.5966752355034,-5920.364239510937
498,-3548.212297254883,-5896.025812846301
499,-4100.775172006131,-6453.564096047251
500,-3686.01909561867,-952.362012497628
501,-3765.287142302983,-6106.477837408941
502,-3907.6140149877583,-5540.050314397474
503,-3879.2080257528637,-6199.20981955377
504,-3958.617281387179,-6290.2921317719065
505,-3905.6967457288283,-6221.675914533996
506,-3812.658464668491,-6163.728803942186
507,-3741.0774770040366,-6079.358603165093
508,-3964.7370713473824,-6273.5785809093295
509,-3598.8110960726917,-5949.923359343294
510,-4023.66528398299,-6351.288398231063
511,-4127.466919095657,-6466.1634124786915
512,-4210.598411900414,-5342.592390225295
513,-4076.346957441073,-6404.384750462743
514,-4033.790713228406,-6396.954547502993
515,-4838.655213594922,-7178.230660957882
516,-4320.956584260829,-6619.383348786584
517,-4366.2548716905785,-6737.262260660063
518,-4655.003064459072,-7046.863213621954
519,-3521.0577462362803,-5904.867425146064
520,-3602.352149648985,-5958.392063506833
521,-3103.9144311659566,-5312.718645543218
522,-3975.0384632434657,-6374.219972822606
523,-4333.83865994211,-6639.956260550268
524,-4555.025471739949,-6848.443457557436
525,-4408.912370004423,-6785.086601925127
526,-4331.780202552022,-6621.811062831622
527,-4606.174041939652,-6928.89599480516
528,-4676.678325197263,-7049.504687036957
529,-4207.996123830359,-6578.021023155317
530,-4101.488820191702,-6451.232425732918
531,-4487.557647314392,-6845.347083939792
532,-4320.857644492852,-6673.810076379304
533,-4485.421726842763,-6853.127448660141
534,-4507.629597738675,-6178.515915745421
535,-4565.940946104972,-6184.999785628005
536,-4486.037242807675,-6841.124355164569
537,-4617.5541412930415,-6972.0207010398135
538,-5216.1950581706315,-7517.575149427788
539,-4997.229850485147,-7331.246542250134
540,-4987.915562081675,-7342.058700504187
541,-4973.514495960918,-7372.249312986125
542,-5151.271933963242,-7526.491625035704
543,-4814.331207024268,-7183.181216941575
544,-4668.523550983852,-6984.396213145962
545,-4606.135999400843,-6972.465807420402
546,-5006.222682079627,-7348.090808860291
547,-4856.826267779043,-7182.60005462577
548,-4933.778984164417,-6554.39585988919
549,-4913.834923617474,-7243.840110231277
550,-5110.524943415037,-7427.269155158016
551,-5431.106597070339,-7738.731469374748
552,-5062.823483891615,-7395.11618694027
553,-4604.70817873814,-6980.490910627801
554,466.75136804982753,-1861.8162030654028
555,-4694.539998281319,-7005.049115550531
556,-4456.078290495285,-6822.456739035391
